price,price_text,building,price_unit,url
990,起,3W Coffice天誉青创社区,元/月,http://gz.diandianzu.com/listing/detail-i2209.html
95,起,环汇商业广场,元/m²/月,http://gz.diandianzu.com/listing/detail-i2067.html
110,起,富力盈信大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i1622.html
85,起,保利中汇广场,元/m²/月,http://gz.diandianzu.com/listing/detail-i1614.html
150,起,耀中广场,元/m²/月,http://gz.diandianzu.com/listing/detail-i711.html
150,起,富力盈凯广场,元/m²/月,http://gz.diandianzu.com/listing/detail-i1864.html
80,起,汇德国际,元/m²/月,http://gz.diandianzu.com/listing/detail-i1863.html
85,起,保利克洛维广场,元/m²/月,http://gz.diandianzu.com/listing/detail-i730.html
138,起,高德置地广场,元/m²/月,http://gz.diandianzu.com/listing/detail-i704.html
80,起,中泰国际广场,元/m²/月,http://gz.diandianzu.com/listing/detail-i713.html
125,起,广晟大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i766.html
125,起,富力盈通大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i1299.html
125,起,保利威座大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i1584.html
85,起,三新大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i736.html
140,起,富力盈隆广场,元/m²/月,http://gz.diandianzu.com/listing/detail-i1589.html
80,起,港汇大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i986.html
165,起,越秀金融大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i1096.html
90,起,富力盈丰大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i1921.html
119,起,珠江国际大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i721.html
79,起,威尼国际（威立大厦）,元/m²/月,http://gz.diandianzu.com/listing/detail-i1661.html
94,起,羊城国际商贸中心,元/m²/月,http://gz.diandianzu.com/listing/detail-i968.html
120,起,万胜广场,元/m²/月,http://gz.diandianzu.com/listing/detail-i2070.html
60,起,广州国际采购中心,元/m²/月,http://gz.diandianzu.com/listing/detail-i1825.html
130,起,环球都会广场,元/m²/月,http://gz.diandianzu.com/listing/detail-i2004.html
65,起,中旅商业城,元/m²/月,http://gz.diandianzu.com/listing/detail-i775.html
68,起,高科大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i752.html
62,起,保利丰兴广场,元/m²/月,http://gz.diandianzu.com/listing/detail-i1573.html
86,起,富力盈泰广场,元/m²/月,http://gz.diandianzu.com/listing/detail-i727.html
165,起,汇美大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i705.html
76,起,富力盈力大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i735.html
119,起,天盈广场,元/m²/月,http://gz.diandianzu.com/listing/detail-i1998.html
76,起,广州国际电子大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i745.html
76,起,富星商贸大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i1926.html
180,起,珠光新城国际中心,元/m²/月,http://gz.diandianzu.com/listing/detail-i1928.html
90,起,中公教育大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i1769.html
110,起,珠控国际中心（珠控商务大厦）,元/m²/月,http://gz.diandianzu.com/listing/detail-i1729.html
6400,起,德事商务中心,元/月,http://gz.diandianzu.com/listing/detail-i2045.html
85,起,南方证券大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i731.html
90,起,东岳财富广场,元/m²/月,http://gz.diandianzu.com/listing/detail-i1745.html
80,起,广州美国银行中心,元/m²/月,http://gz.diandianzu.com/listing/detail-i1703.html
145,起,广晟国际大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i720.html
110,起,津滨腾越大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i737.html
58,起,金安大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i789.html
80,起,富力公园28,元/m²/月,http://gz.diandianzu.com/listing/detail-i1821.html
115,起,富力新天地花园（富力盈东）,元/m²/月,http://gz.diandianzu.com/listing/detail-i1965.html
156,起,凯华国际中心,元/m²/月,http://gz.diandianzu.com/listing/detail-i2062.html
112,起,维多利广场,元/m²/月,http://gz.diandianzu.com/listing/detail-i1597.html
168,起,利通广场,元/m²/月,http://gz.diandianzu.com/listing/detail-i728.html
145,起,天安人寿中心,元/m²/月,http://gz.diandianzu.com/listing/detail-i2199.html
95,起,东照大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i714.html
5180,起,IF商务中心,元/月,http://gz.diandianzu.com/listing/detail-i1775.html
70,起,时代TIT广场,元/m²/月,http://gz.diandianzu.com/listing/detail-i2054.html
83,起,汇华商贸大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i1698.html
90,起,天溢大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i972.html
85,起,领峰园,元/m²/月,http://gz.diandianzu.com/listing/detail-i1992.html
80,起,正佳东方国际广场,元/m²/月,http://gz.diandianzu.com/listing/detail-i2039.html
2700,起,德培利商务中心---雅居乐中心,元/月,http://gz.diandianzu.com/listing/detail-i1648.html
120,起,289艺术PARK,元/m²/月,http://gz.diandianzu.com/listing/detail-i990.html
70,起,壬丰大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i703.html
90,起,中石化大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i708.html
100,起,高盛大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i755.html
76,起,中洲交易中心,元/m²/月,http://gz.diandianzu.com/listing/detail-i1832.html
160,起,雅居乐中心,元/m²/月,http://gz.diandianzu.com/listing/detail-i1574.html
100,起,新国际大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i1704.html
140,起,中信广场,元/m²/月,http://gz.diandianzu.com/listing/detail-i1665.html
130,起,圣丰广场,元/m²/月,http://gz.diandianzu.com/listing/detail-i923.html
130,起,城建大厦,元/m²/月,http://gz.diandianzu.com/listing/detail-i717.html
71,起,御富科贸园,元/m²/月,http://gz.diandianzu.com/listing/detail-i1741.html
